SEGMENTO;"Cooperativa de Crédito";
NOME DA INSTITUICAO;-;
CNPJ;-;
PAIS;Todos;
UF;-;
MUNICIPIO;-;
;
CNPJ;NOME DA INSTITUICAO;ENDERECO;COMPLEMENTO;BAIRRO;CEP;MUNICIPIO;UF;PAIS;DDD;FONE;SITE NA WEB;
33737818;"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS - CENTRAL SICREDI BRASIL CENTRAL";"AV  T 12  S N";"QD 123 LT 17 18 SALA 2801 ED CONNECT PARK BUSINESS";"BUENO";"74223080";"GOIANIA";"GO";"Brasil";-;-;-;
33667205;"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE";"AV  JOSE RODRIGUES DO PRADO  19";"1  ANDAR";"SANTA ROSA";"78040000";"CUIABA";"MT";"Brasil";-;-;"https://www.sicredi.com.br";
70119680;"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORDESTE - CENTRAL SICREDI NORDESTE";"AV. PRESIDENTE EPITÁCIO PESSOA";"19- ANDAR - EDIFÍCIO ATLANTIS OFFICES DESIGN";"TAMBAUZINHO";"0058042006";"JOAO PESSOA";"PB";"Brasil";-;-;"https://www.sicredinne.com.br";
87437687;"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE";"R. MANOELITO DE ORNELLAS, 55";"18- E 19- ANDAR";"PRAIA DE BELAS";"90110230";"PORTO ALEGRE";"RS";"Brasil";-;-;-;
80230774;"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ";"R ALCIDES MUNHOZ  165";"1  ANDAR";"MERCES";"80810040";"CURITIBA";"PR";"Brasil";-;-;-;
86774775;"COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICREDS DO ESTADO DO RIO DE JANEIRO E DO MATO GROSSO LTDA   UNICRED CENTRAL RJ/MT";"RUA DO OUVIDOR 121";"SALA 2101";"CENTRO";"20040031";"RIO DE JANEIRO";"RJ";"Brasil";-;-;"https://www.unicred.com.br/centralrjmt";
14568725;"COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO SICOOB UNIMAIS RIO LTDA.";"RUA RODRIGO SILVA  N  26";"6  ANDAR   SALA 601";"CENTRO";"20011040";"RIO DE JANEIRO";"RJ";"Brasil";-;-;"https://www.sicoobrio.com.br";
51010858;"COOPERATIVA DE CAPITAL E EMPRÉSTIMO COOPERMULTICRED - COOPERMC";"AV  MONTEIRO LOBATO  3411   ANTIGO 3285";"HITACHI PG   SETOR  COOPERATIVA";"SAO ROQUE";"07190904";"GUARULHOS";"SP";"Brasil";-;-;"https://www.coopermc.com.br";
54603022;"COOPERATIVA DE CREDITO CECRES - SICOOB CECRES";"AV IPIRANGA  324";"BL C EDF  INVESTIMENTO 1  3  E 15  ANDAR";"REPUBLICA";"01046010";"SAO PAULO";"SP";"Brasil";-;-;"https://www.sicoobcecres.com.br/";
4120633;"COOPERATIVA DE CREDITO CLASSICA DO ESTADO DO RIO DE JANEIRO - SICOOB EMPRESAS RJ";"AV  DAS AMERICAS  3500  BLOCO 2  SALA 204";"COND  LE MONDE";"BARRA DA TIJUCA";"22640102";"RIO DE JANEIRO";"RJ";"Brasil";-;-;"https://www.sicoobempresas.com.br";
49389307;"COOPERATIVA DE CREDITO COOPLIVRE";"RUA BENTO DIAS  608";-;"CENTRO";"13360000";"CAPIVARI";"SP";"Brasil";-;-;"https://www.cooplivre.com.br";
429890;"COOPERATIVA DE CREDITO CREDIAGRO LTDA. - SICOOB CREDIAGRO";"RUA TIRADENTES";"440";"CENTRO";"38970000";"CAMPOS ALTOS";"MG";"Brasil";-;-;"https://www.sicoobcrediagro.com.br";
966246;"COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA";"RUA SALVADOR DE FREITAS N 1 243";-;"CENTRO";"18730000";"ITAI";"SP";"Brasil";-;-;"https://www.crediceripa.com.br";
54037916;"COOPERATIVA DE CREDITO CREDICITRUS";"RUA PRUDENTE DE MORAES  534";-;"CENTRO";"14700120";"BEBEDOURO";"SP";"Brasil";-;-;"https://www.credicitrus.com.br";
66788142;"COOPERATIVA DE CREDITO CREDIMOTA   SICOOB CREDIMOTA";"RUA HENRIQUE VASQUES  262";-;"CENTRO";"19880000";"CANDIDO MOTA";"SP";"Brasil";-;-;"https://www.sicoobcredimota.com.br";
3358914;"COOPERATIVA DE CREDITO CREDIROCHAS - SICOOB CREDIROCHAS";"RUA VINTE E CINCO DE MARÇO, N- 29";-;"CENTRO";"29300100";"CACHOEIRO DE ITAPEMIRIM";"ES";"Brasil";-;-;"https://www.sicoobes.com.br";
